date,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,ticker
2016-07-31,1428.00000,602.00000,826.00000,350.00000,157.00000,,1111.00000,317.00000,,317.00000,56.00000,261.00000,,261.00000,,261.00000,370.00000,317.00000,534.00000,634.00000,0.49000,0.41000,NVDA
2016-04-30,1305.00000,554.00000,751.00000,346.00000,159.00000,,1060.00000,245.00000,-4.00000,241.00000,33.00000,208.00000,,208.00000,,208.00000,298.00000,245.00000,537.00000,599.00000,0.39000,0.35000,NVDA
2016-01-31,1401.00000,611.00000,790.00000,343.00000,163.00000,,1151.00000,250.00000,4.00000,254.00000,46.00000,208.00000,,208.00000,,208.00000,303.00000,250.00000,543.00000,569.00000,0.39000,0.35000,NVDA
2015-10-31,1305.00000,571.00000,734.00000,329.00000,152.00000,,1060.00000,245.00000,,245.00000,-1.00000,246.00000,,246.00000,,246.00000,301.00000,245.00000,542.00000,565.00000,0.45000,0.44000,NVDA
2015-07-31,1153.00000,519.00000,634.00000,320.00000,149.00000,,1077.00000,76.00000,-4.00000,72.00000,46.00000,26.00000,,26.00000,,26.00000,132.00000,76.00000,541.00000,556.00000,0.05000,0.05000,NVDA
2015-04-30,1151.00000,498.00000,653.00000,339.00000,138.00000,,975.00000,176.00000,-4.00000,172.00000,38.00000,134.00000,,134.00000,,134.00000,237.00000,176.00000,549.00000,568.00000,0.24000,0.24000,NVDA
2015-01-31,1251.00000,551.00000,700.00000,349.00000,119.00000,,1019.00000,232.00000,-4.00000,228.00000,35.00000,193.00000,,193.00000,,193.00000,293.00000,232.00000,552.00000,563.00000,0.35000,0.35000,NVDA
2014-10-31,1225.00000,549.00000,676.00000,340.00000,123.00000,,1012.00000,213.00000,-4.00000,209.00000,36.00000,173.00000,,173.00000,,173.00000,275.00000,213.00000,548.00000,558.00000,0.32000,0.31000,NVDA
2014-07-31,1103.00000,484.00000,619.00000,337.00000,119.00000,,940.00000,163.00000,-8.00000,155.00000,27.00000,128.00000,,128.00000,,128.00000,226.00000,163.00000,558.00000,571.00000,0.23000,0.22000,NVDA
2014-04-30,1103.00000,499.00000,604.00000,334.00000,119.00000,,952.00000,151.00000,12.00000,163.00000,26.00000,137.00000,,137.00000,,137.00000,213.00000,151.00000,559.00000,570.00000,0.24000,0.24000,NVDA
2014-01-31,1144.05600,524.57700,619.47890,336.80700,115.97500,,977.35900,166.69690,1.93700,168.63400,21.70700,146.92700,,146.92700,,146.92700,226.38690,166.69700,588.00000,595.00000,0.26000,0.25000,NVDA
2013-10-31,1053.96700,469.55200,584.41500,340.29400,103.13300,,912.97900,140.98800,0.49600,141.48400,22.75000,118.73400,,118.73400,,118.73400,203.71400,140.98800,580.87000,588.75200,0.20000,0.20000,NVDA
2013-07-31,977.23800,431.70000,545.53800,331.73800,108.26600,,871.70400,105.53400,6.28600,111.82000,15.37200,96.44800,,96.44800,,96.44800,167.37400,105.53400,585.34500,592.00600,0.16000,0.16000,NVDA
2013-04-30,954.73900,436.17100,518.56800,327.16100,108.62600,,871.95800,82.78100,5.28100,88.06200,10.17100,77.89100,,77.89100,,77.89100,142.52500,82.78100,616.87200,619.30200,0.13000,0.13000,NVDA
2013-01-31,1106.90200,521.29990,585.60250,298.00700,104.02200,,923.32890,183.57350,2.53500,186.10800,12.13500,173.97300,,173.97300,,173.97300,241.97450,183.57330,619.32400,624.95700,0.28000,0.28000,NVDA
2012-10-31,1204.11000,567.45200,636.65800,284.18000,100.26100,,951.89300,252.21700,1.41100,253.62800,44.54800,209.08000,,209.08000,,209.08000,309.36500,252.21700,622.35200,628.84500,0.34000,0.33000,NVDA
2012-07-31,1044.27000,503.55100,540.71900,281.19300,119.90300,,904.64700,139.62300,5.58500,145.20800,26.16200,119.04600,,119.04600,,119.04600,195.81800,139.62300,618.99600,623.14300,0.19000,0.19000,NVDA
2012-04-30,924.87700,461.51300,463.36400,283.90200,106.63600,,852.05100,72.82600,4.26900,77.09500,16.65800,60.43700,,60.43700,,60.43700,127.31700,72.82600,615.78000,623.78600,0.10000,0.10000,NVDA
2012-01-31,953.19390,463.18090,490.01300,266.86200,100.83400,,830.87700,122.31700,2.26000,124.57700,8.55200,116.02500,,116.02500,,116.02500,174.21200,122.31670,603.64600,616.37100,0.19000,0.18000,NVDA
2011-10-31,1066.18000,509.46300,556.71700,256.49800,103.12900,,869.09000,197.09010,7.69700,204.78700,26.51400,178.27300,,178.27300,,178.27300,249.47710,197.09010,607.06300,613.56000,0.29000,0.29000,NVDA
2011-07-31,1016.51700,491.23300,525.28410,247.72100,103.53300,,842.48700,174.03000,3.51700,177.54700,25.97400,151.57300,,151.57300,,151.57300,226.18900,174.03000,601.34000,613.93400,0.25000,0.25000,NVDA
2011-04-30,962.03900,477.53600,484.50300,231.52400,98.11700,,807.17700,154.86200,1.62300,156.48500,21.26600,135.21900,,135.21900,,135.21900,202.62600,154.86200,594.80200,613.47400,0.23000,0.22000,NVDA
2011-01-31,886.37600,460.01700,426.35890,215.56300,88.01800,,706.59810,179.77780,6.12800,185.90600,14.25500,171.65100,,171.65100,,171.65100,226.17080,179.77810,575.17700,588.68400,0.30000,0.30000,NVDA
2010-10-31,843.91200,451.85000,392.06200,204.52700,83.75200,,740.12900,103.78300,-0.19800,103.58500,18.72300,84.86200,,84.86200,,84.86200,150.65900,103.78300,577.32300,582.64800,0.15000,0.15000,NVDA
2010-07-31,811.20800,676.91600,134.29200,210.63500,98.86400,,986.41500,-175.20700,6.16000,-169.04700,-28.08600,-140.96100,,-140.96100,,-140.96100,-128.63400,-175.20700,572.76400,572.76400,-0.25000,-0.25000,NVDA
2010-04-30,1001.81300,545.43600,456.37700,218.10500,90.87900,,854.41990,147.39310,3.33200,150.72500,13.13100,137.59400,,137.59400,,137.59400,194.54010,147.39310,567.18300,590.99700,0.24000,0.23000,NVDA
2010-01-31,982.48800,543.76700,438.72100,216.25100,88.18800,,848.20630,134.28170,5.13900,139.42100,8.34500,131.07600,,131.07600,,131.07600,182.19570,134.28190,549.57400,549.57400,0.24000,0.25000,NVDA
2009-10-31,903.20600,511.42300,391.78300,197.94800,85.99000,,795.36100,107.84500,2.36200,110.20700,2.63000,107.57700,,107.57700,,107.57700,156.61500,107.84500,551.28300,574.38100,0.20000,0.19000,NVDA
